episode_id,create_time,avg_score,min_score,sum_score,agent_count,size_bytes
94031431,2026-08-17T21:38:45.5184634,3172.740849,3147.007527,6345.481699,2,30416917
93974374,2026-08-17T17:10:43.1487755,3172.740849,3150.079226,6345.481699,2,30921561
94041982,2026-08-17T22:26:44.5060898,3172.740849,3157.560210,6345.481699,2,30242383
94051618,2026-08-17T23:10:46.1016294,3172.740849,3145.914547,6345.481699,2,32315682
94019142,2026-08-17T20:42:44.5839827,3172.740849,3145.060629,6345.481699,2,30638933
94005161,2026-08-17T19:34:26.6207366,3172.740849,3152.647269,6345.481699,2,31717130
94019141,2026-08-17T20:42:44.5818838,3172.740849,3141.438344,6345.481699,2,30734717
93974375,2026-08-17T17:10:43.1509959,3172.740849,3155.341665,6345.481699,2,32621199
94051617,2026-08-17T23:10:46.0994047,3172.740849,3149.675830,6345.481699,2,30542622
94031435,2026-08-17T21:38:45.5230274,3172.740849,3152.378234,6345.481699,2,30509459
93990240,2026-08-17T18:26:26.1195941,3172.740849,3151.406414,6345.481699,2,30565545
94005143,2026-08-17T19:34:26.6083498,3172.740849,3148.795201,6345.481699,2,31962158
94059625,2026-08-17T23:46:44.6189465,3172.740849,3147.512471,6345.481699,2,30605019
93990233,2026-08-17T18:26:26.1143105,3172.740849,3156.622343,6345.481699,2,30601164
93955900,2026-08-17T15:46:45.1792227,3172.740849,3148.659729,6345.481699,2,30823574
94041983,2026-08-17T22:26:44.5068880,3172.740849,3153.555857,6345.481699,2,32859289
94059626,2026-08-17T23:46:44.6203015,3172.740849,3151.323986,6345.481699,2,31469748
93955905,2026-08-17T15:46:45.2365457,3172.740849,3153.972093,6345.481699,2,30547938
93936519,2026-08-17T14:18:44.9658978,3172.713381,3143.096831,6345.426762,2,30031013
93916293,2026-08-17T12:46:43.7587630,3169.832286,3131.619772,6339.664571,2,30708513
93897794,2026-08-17T11:22:40.4327144,3163.021852,3111.956762,6326.043704,2,30653368
93931262,2026-08-17T13:54:46.4343754,3156.625231,3137.215342,6313.250462,2,31561827
93911003,2026-08-17T12:22:42.9439873,3153.264128,3125.156629,6306.528257,2,30727491
93787889,2026-08-17T00:50:07.5356768,3152.308708,3092.555510,6304.617416,2,30702377
93793186,2026-08-17T01:34:07.6682572,3152.308708,3089.828070,6304.617416,2,30618298
93892502,2026-08-17T10:58:50.0958372,3142.213981,3097.397238,6284.427962,2,30508942
93785910,2026-08-17T00:34:08.1858718,3137.408767,3095.355925,6274.817534,2,30443824
93796511,2026-08-17T02:02:08.8756439,3135.929602,3086.735376,6271.859203,2,31475200
93877490,2026-08-17T09:50:41.4912775,3135.364025,3050.096762,6270.728050,2,31780555
93816256,2026-08-17T04:46:38.8403009,3132.244004,3041.998467,6264.488007,2,30567136
93809928,2026-08-17T03:54:38.7818370,3132.244004,3044.043887,6264.488007,2,30728632
93803702,2026-08-17T03:02:38.9781810,3130.290319,3042.228336,6260.580637,2,30642871
