agent_slug,tier,seed,day,bank,hands_hired_today,quadrants_owned,tiles_crop,tiles_pasture,tiles_coop,tiles_empty,tiles_weed,animals_alive,shed_items,price_wheat,price_melon,price_milk,price_wool
fallow_finn,0,7000,0,3000,0,1,0,0,0,25,0,0,0,26,256,169,206
fallow_finn,0,7000,1,3000,0,1,0,0,0,25,0,0,0,26,260,172,209
fallow_finn,0,7000,2,3000,0,1,0,0,0,25,0,0,0,27,262,175,212
fallow_finn,0,7000,3,3000,0,1,0,0,0,25,0,0,0,27,264,177,214
fallow_finn,0,7000,4,3000,0,1,0,0,0,25,0,0,0,27,266,179,215
fallow_finn,0,7000,5,3000,0,1,0,0,0,25,0,0,0,27,267,181,217
fallow_finn,0,7000,6,3000,0,1,0,0,0,25,0,0,0,28,268,183,223
fallow_finn,0,7000,7,3000,0,1,0,0,0,25,0,0,0,28,269,185,228
fallow_finn,0,7000,8,3000,0,1,0,0,0,25,0,0,0,28,270,186,232
fallow_finn,0,7000,9,3000,0,1,0,0,0,25,0,0,0,28,271,187,234
fallow_finn,0,7000,10,3000,0,1,0,0,0,25,0,0,0,28,272,189,236
fallow_finn,0,7000,11,3000,0,1,0,0,0,25,0,0,0,28,272,190,237
fallow_finn,0,7000,12,3000,0,1,0,0,0,25,0,0,0,29,273,195,239
fallow_finn,0,7000,13,3000,0,1,0,0,0,25,0,0,0,30,274,202,240
fallow_finn,0,7000,14,3000,0,1,0,0,0,25,0,0,0,30,274,208,241
fallow_finn,0,7000,15,3000,0,1,0,0,0,25,0,0,0,31,275,213,242
fallow_finn,0,7000,16,3000,0,1,0,0,0,25,0,0,0,32,275,218,244
fallow_finn,0,7000,17,3000,0,1,0,0,0,25,0,0,0,32,276,222,245
fallow_finn,0,7000,18,3000,0,1,0,0,0,25,0,0,0,33,276,226,246
fallow_finn,0,7000,19,3000,0,1,0,0,0,25,0,0,0,33,277,230,247
fallow_finn,0,7000,20,3000,0,1,0,0,0,25,0,0,0,33,277,234,248
fallow_finn,0,7000,21,3000,0,1,0,0,0,25,0,0,0,34,277,239,249
fallow_finn,0,7000,22,3000,0,1,0,0,0,25,0,0,0,35,278,245,249
fallow_finn,0,7000,23,3000,0,1,0,0,0,25,0,0,0,35,278,250,250
fallow_finn,0,7000,24,3000,0,1,0,0,0,25,0,0,0,36,279,256,251
fallow_finn,0,7000,25,3000,0,1,0,0,0,25,0,0,0,37,279,261,251
fallow_finn,0,7000,26,3000,0,1,0,0,0,25,0,0,0,38,279,265,252
fallow_finn,0,7000,27,3000,0,1,0,0,0,25,0,0,0,38,280,270,252
fallow_finn,0,7000,28,3000,0,1,0,0,0,25,0,0,0,39,280,274,253
fallow_finn,0,7000,29,3000,0,1,0,0,0,25,0,0,0,40,280,279,253
fallow_finn,0,7001,0,3000,0,1,0,0,0,25,0,0,0,26,256,169,206
fallow_finn,0,7001,1,3000,0,1,0,0,0,25,0,0,0,26,260,172,209
fallow_finn,0,7001,2,3000,0,1,0,0,0,25,0,0,0,27,262,175,212
fallow_finn,0,7001,3,3000,0,1,0,0,0,25,0,0,0,27,264,177,221
fallow_finn,0,7001,4,3000,0,1,0,0,0,25,0,0,0,27,266,179,227
fallow_finn,0,7001,5,3000,0,1,0,0,0,25,0,0,0,27,267,181,231
fallow_finn,0,7001,6,3000,0,1,0,0,0,25,0,0,0,28,268,187,234
fallow_finn,0,7001,7,3000,0,1,0,0,0,25,0,0,0,28,269,196,236
fallow_finn,0,7001,8,3000,0,1,0,0,0,25,0,0,0,28,270,203,237
fallow_finn,0,7001,9,3000,0,1,0,0,0,25,0,0,0,29,271,208,239
fallow_finn,0,7001,10,3000,0,1,0,0,0,25,0,0,0,29,272,214,240
fallow_finn,0,7001,11,3000,0,1,0,0,0,25,0,0,0,30,272,218,241
fallow_finn,0,7001,12,3000,0,1,0,0,0,25,0,0,0,31,273,223,242
fallow_finn,0,7001,13,3000,0,1,0,0,0,25,0,0,0,32,274,227,242
fallow_finn,0,7001,14,3000,0,1,0,0,0,25,0,0,0,33,274,231,243
fallow_finn,0,7001,15,3000,0,1,0,0,0,25,0,0,0,34,275,234,244
fallow_finn,0,7001,16,3000,0,1,0,0,0,25,0,0,0,35,275,238,245
fallow_finn,0,7001,17,3000,0,1,0,0,0,25,0,0,0,36,276,241,245
fallow_finn,0,7001,18,3000,0,1,0,0,0,25,0,0,0,37,276,244,246
fallow_finn,0,7001,19,3000,0,1,0,0,0,25,0,0,0,37,277,247,246
fallow_finn,0,7001,20,3000,0,1,0,0,0,25,0,0,0,38,277,250,247
fallow_finn,0,7001,21,3000,0,1,0,0,0,25,0,0,0,39,277,253,247
fallow_finn,0,7001,22,3000,0,1,0,0,0,25,0,0,0,40,278,256,248
fallow_finn,0,7001,23,3000,0,1,0,0,0,25,0,0,0,40,278,259,248
fallow_finn,0,7001,24,3000,0,1,0,0,0,25,0,0,0,41,279,261,248
fallow_finn,0,7001,25,3000,0,1,0,0,0,25,0,0,0,42,279,264,249
fallow_finn,0,7001,26,3000,0,1,0,0,0,25,0,0,0,42,279,266,249
fallow_finn,0,7001,27,3000,0,1,0,0,0,25,0,0,0,43,280,269,250
fallow_finn,0,7001,28,3000,0,1,0,0,0,25,0,0,0,44,280,271,250
fallow_finn,0,7001,29,3000,0,1,0,0,0,25,0,0,0,44,280,274,250
fallow_finn,0,7002,0,3000,0,1,0,0,0,25,0,0,0,26,256,169,206
fallow_finn,0,7002,1,3000,0,1,0,0,0,25,0,0,0,26,260,172,209
fallow_finn,0,7002,2,3000,0,1,0,0,0,25,0,0,0,27,262,175,212
fallow_finn,0,7002,3,3000,0,1,0,0,0,25,0,0,0,27,264,177,214
fallow_finn,0,7002,4,3000,0,1,0,0,0,25,0,0,0,27,266,179,215
fallow_finn,0,7002,5,3000,0,1,0,0,0,25,0,0,0,27,267,181,217
fallow_finn,0,7002,6,3000,0,1,0,0,0,25,0,0,0,28,268,183,218
fallow_finn,0,7002,7,3000,0,1,0,0,0,25,0,0,0,28,269,185,219
fallow_finn,0,7002,8,3000,0,1,0,0,0,25,0,0,0,28,270,186,220
fallow_finn,0,7002,9,3000,0,1,0,0,0,25,0,0,0,28,271,187,221
fallow_finn,0,7002,10,3000,0,1,0,0,0,25,0,0,0,28,272,189,221
fallow_finn,0,7002,11,3000,0,1,0,0,0,25,0,0,0,28,272,190,222
fallow_finn,0,7002,12,3000,0,1,0,0,0,25,0,0,0,29,273,191,226
fallow_finn,0,7002,13,3000,0,1,0,0,0,25,0,0,0,29,274,193,230
fallow_finn,0,7002,14,3000,0,1,0,0,0,25,0,0,0,29,274,194,233
